Date,Open,High,Low,Close,Adj Close,Volume
2018-03-08,0.805400,0.812590,0.803550,0.805500,0.805500,0
2018-03-09,0.812490,0.814630,0.810780,0.812570,0.812570,0
2018-03-12,0.812440,0.813580,0.810241,0.812430,0.812430,0
2018-03-13,0.810460,0.812020,0.806520,0.810400,0.810400,0
2018-03-14,0.806910,0.809710,0.805400,0.806950,0.806950,0
2018-03-15,0.808060,0.811640,0.807300,0.808040,0.808040,0
2018-03-16,0.812500,0.815560,0.810700,0.812400,0.812400,0
2018-03-19,0.814280,0.815630,0.810870,0.814280,0.814280,0
2018-03-20,0.810500,0.815330,0.809440,0.810580,0.810580,0
2018-03-21,0.816450,0.816527,0.813260,0.816200,0.816200,0
2018-03-22,0.809800,0.812980,0.807310,0.809870,0.809870,0
2018-03-23,0.811290,0.811690,0.809050,0.811360,0.811360,0
2018-03-26,0.809460,0.809560,0.803280,0.809430,0.809430,0
2018-03-27,0.802890,0.808190,0.801400,0.802730,0.802730,0
2018-03-28,0.805930,0.810560,0.805000,0.805940,0.805940,0
2018-03-29,0.812160,0.813990,0.810500,0.812330,0.812330,0
2018-03-30,0.812840,0.813140,0.810800,0.812820,0.812820,0
2018-04-02,0.812160,0.814080,0.810000,0.812070,0.812070,0
2018-04-03,0.813450,0.815990,0.810570,0.813490,0.813490,0
2018-04-04,0.814370,0.815820,0.812310,0.814430,0.814430,0
2018-04-05,0.813810,0.818370,0.813600,0.813880,0.813880,0
2018-04-06,0.816260,0.818460,0.814330,0.816220,0.816220,0
2018-04-09,0.814900,0.815490,0.811000,0.814900,0.814900,0
2018-04-10,0.811540,0.812760,0.807900,0.811530,0.811530,0
2018-04-11,0.808810,0.809450,0.806860,0.808860,0.808860,0
2018-04-12,0.808000,0.812980,0.807770,0.808300,0.808300,0
2018-04-13,0.810800,0.812430,0.809800,0.811050,0.811050,0
2018-04-16,0.810830,0.811270,0.806840,0.810860,0.810860,0
2018-04-17,0.807450,0.810480,0.805477,0.807420,0.807420,0
2018-04-18,0.808210,0.810080,0.806650,0.808200,0.808200,0
2018-04-19,0.807850,0.811000,0.806322,0.807810,0.807810,0
2018-04-20,0.810100,0.815990,0.809540,0.810010,0.810010,0
2018-04-23,0.814740,0.818850,0.813690,0.814770,0.814770,0
2018-04-24,0.818920,0.820690,0.817350,0.819070,0.819070,0
2018-04-25,0.817250,0.821760,0.817250,0.816900,0.816900,0
2018-04-26,0.821640,0.826460,0.819000,0.821580,0.821580,0
2018-04-27,0.825930,0.829460,0.825287,0.825790,0.825790,0
2018-04-30,0.824500,0.828750,0.823820,0.824890,0.824890,0
2018-05-01,0.827600,0.834480,0.827500,0.827730,0.827730,0
2018-05-02,0.833880,0.836530,0.831180,0.833920,0.833920,0
2018-05-03,0.836700,0.836770,0.832700,0.836750,0.836750,0
2018-05-04,0.834080,0.839290,0.833500,0.834080,0.834080,0
2018-05-07,0.836420,0.840370,0.834800,0.836470,0.836470,0
2018-05-08,0.838040,0.844640,0.837600,0.837960,0.837960,0
2018-05-09,0.842690,0.845770,0.840610,0.842610,0.842610,0
2018-05-10,0.844050,0.844260,0.837350,0.844080,0.844080,0
2018-05-11,0.839260,0.840800,0.835570,0.839100,0.839100,0
2018-05-14,0.836710,0.836710,0.833542,0.836670,0.836670,0
2018-05-15,0.838080,0.845740,0.837500,0.838140,0.838140,0
2018-05-16,0.845840,0.849930,0.843600,0.845960,0.845960,0
2018-05-17,0.846440,0.849000,0.844820,0.846240,0.846240,0
2018-05-18,0.848030,0.851030,0.845860,0.847800,0.847800,0
2018-05-21,0.850070,0.853340,0.848970,0.849860,0.849860,0
2018-05-22,0.848260,0.850380,0.845440,0.848000,0.848000,0
2018-05-23,0.848200,0.855710,0.848104,0.848280,0.848280,0
2018-05-24,0.854180,0.855270,0.851110,0.853960,0.853960,0
2018-05-25,0.853010,0.858490,0.852280,0.853050,0.853050,0
2018-05-28,0.855610,0.861440,0.852500,0.855510,0.855510,0
2018-05-29,0.860030,0.868480,0.859120,0.860070,0.860070,0
2018-05-30,0.866730,0.868050,0.856825,0.866600,0.866600,0
2018-05-31,0.857180,0.858890,0.852950,0.857100,0.857100,0
2018-06-01,0.855190,0.859850,0.853570,0.855200,0.855200,0
2018-06-04,0.856900,0.856990,0.851480,0.857000,0.857000,0
2018-06-05,0.854570,0.857980,0.853690,0.854660,0.854660,0
2018-06-06,0.852760,0.853630,0.847673,0.852790,0.852790,0
2018-06-07,0.848610,0.848640,0.844523,0.848500,0.848500,0
2018-06-08,0.847900,0.852630,0.846597,0.847800,0.847800,0
2018-06-11,0.848400,0.849180,0.846000,0.848610,0.848610,0
2018-06-12,0.849380,0.851560,0.846850,0.849320,0.849320,0
2018-06-13,0.851240,0.852250,0.848200,0.851190,0.851190,0
2018-06-14,0.847000,0.859930,0.844480,0.846900,0.846900,0
2018-06-15,0.864800,0.866150,0.860100,0.864560,0.864560,0
2018-06-18,0.862290,0.864570,0.860310,0.862370,0.862370,0
2018-06-19,0.859840,0.867060,0.858600,0.859790,0.859790,0
2018-06-20,0.862860,0.866100,0.862060,0.862920,0.862920,0
2018-06-21,0.863780,0.868500,0.859970,0.863630,0.863630,0
2018-06-22,0.861550,0.861940,0.856458,0.861640,0.861640,0
2018-06-25,0.857590,0.859850,0.854700,0.857530,0.857530,0
2018-06-26,0.854570,0.858220,0.853200,0.854500,0.854500,0
2018-06-27,0.858510,0.863290,0.856760,0.858350,0.858350,0
2018-06-28,0.864870,0.867450,0.862292,0.864780,0.864780,0
2018-06-29,0.864720,0.864720,0.855990,0.864830,0.864830,0
2018-07-02,0.856280,0.862620,0.856280,0.856270,0.856270,0
2018-07-03,0.859050,0.860390,0.856500,0.858950,0.858950,0
2018-07-04,0.857680,0.859740,0.856030,0.857690,0.857690,0
2018-07-05,0.857500,0.858310,0.853260,0.857460,0.857460,0
2018-07-06,0.855150,0.856110,0.849810,0.855000,0.855000,0
2018-07-09,0.850940,0.851580,0.848120,0.850900,0.850900,0
2018-07-10,0.850520,0.855290,0.850130,0.850560,0.850560,0
2018-07-11,0.852490,0.854820,0.850690,0.852730,0.852730,0
2018-07-12,0.856480,0.858330,0.854920,0.856400,0.856400,0
2018-07-13,0.857360,0.860990,0.856500,0.857200,0.857200,0
2018-07-16,0.856240,0.856410,0.852800,0.856230,0.856230,0
2018-07-17,0.853930,0.857300,0.851400,0.854010,0.854010,0
2018-07-18,0.857800,0.861790,0.857240,0.858130,0.858130,0
2018-07-19,0.858650,0.863860,0.857850,0.858690,0.858690,0
2018-07-20,0.858020,0.859990,0.853070,0.857990,0.857990,0
2018-07-23,0.851660,0.855530,0.851000,0.851650,0.851650,0
2018-07-24,0.854800,0.857840,0.853490,0.855130,0.855130,0
2018-07-25,0.855600,0.857080,0.853700,0.855760,0.855760,0
2018-07-26,0.851800,0.858300,0.851560,0.851970,0.851970,0
2018-07-27,0.858770,0.860310,0.857400,0.858890,0.858890,0
2018-07-30,0.857400,0.858410,0.853300,0.857600,0.857600,0
2018-07-31,0.854070,0.855230,0.851200,0.854160,0.854160,0
2018-08-01,0.855460,0.857240,0.854800,0.855460,0.855460,0
2018-08-02,0.857350,0.861760,0.856900,0.857200,0.857200,0
2018-08-03,0.863140,0.864890,0.861178,0.863110,0.863110,0
2018-08-06,0.864950,0.867230,0.864300,0.864880,0.864880,0
2018-08-07,0.865240,0.865650,0.861400,0.865200,0.865200,0
2018-08-08,0.861820,0.863960,0.859900,0.861850,0.861850,0
2018-08-09,0.861320,0.864920,0.860500,0.861270,0.861270,0
2018-08-10,0.867400,0.877490,0.866600,0.867760,0.867760,0
2018-08-13,0.877510,0.879820,0.874600,0.877600,0.877600,0
2018-08-14,0.877310,0.881250,0.874814,0.877000,0.877000,0
2018-08-15,0.881200,0.884780,0.881100,0.881390,0.881390,0
2018-08-16,0.881500,0.881960,0.876550,0.881500,0.881500,0
2018-08-17,0.879330,0.879710,0.875500,0.879400,0.879400,0
2018-08-20,0.874290,0.877560,0.873410,0.874300,0.874300,0
2018-08-21,0.870390,0.870580,0.866620,0.870220,0.870220,0
2018-08-22,0.863830,0.865470,0.860200,0.863800,0.863800,0
2018-08-23,0.863090,0.866160,0.862840,0.863200,0.863200,0
2018-08-24,0.866340,0.866600,0.859330,0.866300,0.866300,0
2018-08-27,0.858780,0.862280,0.856100,0.858450,0.858450,0
2018-08-28,0.855910,0.857380,0.852297,0.855900,0.855900,0
2018-08-29,0.855210,0.858074,0.854240,0.855340,0.855340,0
2018-08-30,0.854020,0.858800,0.853420,0.853990,0.853990,0
2018-08-31,0.857200,0.862330,0.855480,0.857290,0.857290,0
2018-09-03,0.862180,0.862740,0.860000,0.861990,0.861990,0
2018-09-04,0.861100,0.867060,0.860900,0.860920,0.860920,0
2018-09-05,0.862960,0.866040,0.859650,0.863070,0.863070,0
2018-09-06,0.859480,0.861500,0.857910,0.859460,0.859460,0
2018-09-07,0.860300,0.864760,0.858300,0.860580,0.860580,0
2018-09-10,0.865130,0.867480,0.861000,0.864970,0.864970,0
2018-09-11,0.862560,0.864540,0.858900,0.862370,0.862370,0
2018-09-12,0.862370,0.864240,0.858500,0.862360,0.862360,0
2018-09-13,0.860100,0.861350,0.854640,0.859900,0.859900,0
2018-09-14,0.855400,0.857950,0.853150,0.855300,0.855300,0
2018-09-17,0.860320,0.860320,0.855000,0.859920,0.859920,0
2018-09-18,0.856960,0.856960,0.853210,0.856960,0.856960,0
2018-09-19,0.856250,0.858120,0.853500,0.856170,0.856170,0
2018-09-20,0.856600,0.856690,0.849113,0.856560,0.856560,0
2018-09-21,0.849180,0.852100,0.847340,0.849190,0.849190,0
2018-09-24,0.850990,0.852860,0.846380,0.850990,0.850990,0
2018-09-25,0.850830,0.852330,0.848000,0.850850,0.850850,0
2018-09-26,0.849900,0.852590,0.849113,0.850110,0.850110,0
2018-09-27,0.851270,0.857300,0.850400,0.851170,0.851170,0
2018-09-28,0.859340,0.864260,0.858148,0.859300,0.859300,0
2018-10-01,0.861700,0.864670,0.860490,0.861670,0.861670,0
2018-10-02,0.863740,0.869060,0.863400,0.863740,0.863740,0
2018-10-03,0.865770,0.868330,0.862570,0.865670,0.865670,0
2018-10-04,0.871280,0.872250,0.866852,0.871360,0.871360,0
2018-10-05,0.868240,0.870490,0.866360,0.868200,0.868200,0
2018-10-08,0.867760,0.872530,0.867200,0.867860,0.867860,0
2018-10-09,0.869970,0.874640,0.869200,0.870010,0.870010,0
2018-10-10,0.869260,0.871030,0.866401,0.869040,0.869040,0
2018-10-11,0.867140,0.867140,0.862250,0.867050,0.867050,0
2018-10-12,0.862780,0.866780,0.861360,0.862780,0.862780,0
